ell R_ell F_ell N_ell
201 2.3322667805190083e-06 2.8288555552982126e-07 2.043455091305994e-06
202 2.310366612129726e-06 2.840568606393163e-07 2.0223081126553683e-06
203 2.272736532370966e-06 2.602684507105452e-07 2.001750684126206e-06
204 2.253053850088788e-06 2.7151874702211703e-07 1.9990283899726664e-06
205 2.295250550274051e-06 2.8290206712668104e-07 2.0030166376347837e-06
206 2.2422107237568014e-06 2.680343189004287e-07 1.9701770293923865e-06
207 2.258998776205028e-06 3.049522510972535e-07 1.969091026327158e-06
208 2.2218282815824733e-06 2.512163298865809e-07 1.9719024810858274e-06
209 2.2339505571225447e-06 2.9800967062962333e-07 1.953738796977719e-06
210 2.2062904160172044e-06 2.502370691968986e-07 1.9707430620951203e-06
211 2.2951585502394594e-06 3.2240016771314504e-07 1.9771569682712298e-06
212 2.2374028416103457e-06 2.6643759681898516e-07 1.9743573078456933e-06
213 2.2289809551085462e-06 2.7831641203352877e-07 1.9509163482319217e-06
214 2.268519153651938e-06 3.132445023530721e-07 1.9667664921437385e-06
215 2.1983601917407207e-06 2.717683294216146e-07 1.935539408253129e-06
216 2.2113444348450233e-06 2.708030550626465e-07 1.94791868883483e-06
217 2.200345245271391e-06 2.4438971512958816e-07 1.97031436435041e-06
218 2.3055925757996472e-06 3.291088994089427e-07 1.9760990601472092e-06
219 2.292705936239809e-06 3.2120369143952194e-07 1.985322204888024e-06
220 2.2837233179290834e-06 3.04592486717563e-07 1.9740682649133712e-06
221 2.3084299830886757e-06 3.296031413749795e-07 1.9839765030690797e-06
222 2.3171435258462232e-06 3.1754136446862574e-07 1.9898105237213105e-06
223 2.2702429901663282e-06 2.8768823044960206e-07 1.971452359885912e-06
224 2.281148421367571e-06 2.8238397457950313e-07 1.9868608347187862e-06
225 2.290407542280561e-06 2.9332783693253937e-07 2.009033573499013e-06
226 2.3140390890309904e-06 3.0434176206679784e-07 2.011920010610051e-06
227 2.2892857822419513e-06 2.598481952357192e-07 2.03479532000874e-06
228 2.3583097262236335e-06 3.085209475426555e-07 2.0434247030065024e-06
229 2.3545210331552993e-06 2.7891394986362455e-07 2.067730844921138e-06
230 2.3794418836362196e-06 3.2441513112116696e-07 2.0644210434565684e-06
231 2.3537818979287328e-06 2.7725755318027307e-07 2.0699862678808646e-06
232 2.3946172414427976e-06 2.988460157368231e-07 2.083523660914066e-06
