# ell  TT    EE    TE
1.420000000000000000e+02 1.257630463449225022e+00 3.448849739933861069e-04 -1.373536679387258111e-02
1.430000000000000000e+02 1.250400703836908933e+00 3.397884287708570830e-04 -1.360864146533628631e-02
1.440000000000000000e+02 1.243213381852958044e+00 3.346354253458347903e-04 -1.347776234466969633e-02
1.450000000000000000e+02 1.236066349154313571e+00 3.294808997655000044e-04 -1.334282199787735837e-02
1.460000000000000000e+02 1.228957749382172837e+00 3.242592408718869166e-04 -1.320391405833562341e-02
1.470000000000000000e+02 1.221885726177107667e+00 3.190464983648656186e-04 -1.306113215942821502e-02
1.480000000000000000e+02 1.214848423180295622e+00 3.137706539152618906e-04 -1.291456993453400648e-02
1.490000000000000000e+02 1.207843984032778373e+00 3.085203608923312718e-04 -1.276432101703245565e-02
1.500000000000000000e+02 1.200870552375601141e+00 3.032338858689064172e-04 -1.261047904030246705e-02
1.510000000000000000e+02 1.193926271849535370e+00 2.979358249734295077e-04 -1.245313763772536685e-02
1.520000000000000000e+02 1.187009286095623617e+00 2.927058326803988453e-04 -1.229239044267966402e-02
1.530000000000000000e+02 1.180117738755091628e+00 2.873879463916299446e-04 -1.212833108854807079e-02
1.540000000000000000e+02 1.173249773469068558e+00 2.821267531500799017e-04 -1.196105320870637784e-02
1.550000000000000000e+02 1.166403533878329624e+00 2.767909492490769232e-04 -1.179065043653832433e-02
1.560000000000000000e+02 1.159577163624393004e+00 2.715586635653023466e-04 -1.161721640542259099e-02
1.570000000000000000e+02 1.152768806347898467e+00 2.663141043301363526e-04 -1.144084474873963836e-02
1.580000000000000000e+02 1.145976605690081085e+00 2.610771307303919194e-04 -1.126162909986686521e-02
1.590000000000000000e+02 1.139198705292300495e+00 2.558694799344562033e-04 -1.107966309218697681e-02
1.600000000000000000e+02 1.132433248795423841e+00 2.507019003116259617e-04 -1.089504035907762000e-02
1.610000000000000000e+02 1.125678578759912174e+00 2.455974688424554866e-04 -1.070785427020483696e-02
1.620000000000000000e+02 1.118933833422042223e+00 2.404980933492027306e-04 -1.051819714035670192e-02
1.630000000000000000e+02 1.112198349937312924e+00 2.354165412310037914e-04 -1.032616102061125959e-02
1.640000000000000000e+02 1.105471465461369762e+00 2.304267505207142268e-04 -1.013183796204398211e-02
1.650000000000000000e+02 1.098752517149882424e+00 2.254527999613120182e-04 -9.935320015730442211e-03
1.660000000000000000e+02 1.092040842158099379e+00 2.205464249099376242e-04 -9.736699232743766669e-03
1.670000000000000000e+02 1.085335777641925015e+00 2.157080137060006107e-04 -9.536067664160582935e-03
