# units: uK_CMB^2
ell R_ell F_ell N_ell
134 2.4548985021800037e-06 2.8327343703985454e-07 2.2028719253013652e-06
135 2.462793250279745e-06 3.103073952638244e-07 2.203111917981826e-06
136 2.45688973386308e-06 2.560986967725787e-07 2.2315378113074367e-06
137 2.4514726896497718e-06 2.591176959307726e-07 2.2121173635795246e-06
138 2.4195414176036415e-06 2.3236430962073874e-07 2.2292244310580683e-06
139 2.445215564617477e-06 2.4943614467245954e-07 2.2425299739138625e-06
140 2.4901514832583033e-06 2.9924161706993847e-07 2.2178218850941213e-06
141 2.453508188733464e-06 2.580256415805249e-07 2.2205272664157595e-06
142 2.4184327232516757e-06 1.8316852191706598e-07 2.241276573496403e-06
143 2.4575426419693163e-06 2.1825756692382872e-07 2.2594780078745116e-06
144 2.4443461475755824e-06 2.649095772923992e-07 2.231581320810442e-06
145 2.480260292213564e-06 2.4652691956612825e-07 2.2686073266948545e-06
146 2.4372272854354295e-06 2.2618150004364943e-07 2.2371979320438565e-06
147 2.4722303380775204e-06 2.662510377926817e-07 2.2474173424538287e-06
148 2.443491718781907e-06 2.452807756313784e-07 2.2356110565319495e-06
149 2.4473668310352918e-06 2.3909954942119737e-07 2.2478580417761526e-06
150 2.371907119281046e-06 1.8942882777897274e-07 2.210433673341519e-06
151 2.3822219012431425e-06 2.2051626393906815e-07 2.201383133317549e-06
152 2.44038904277662e-06 2.162841074930055e-07 2.263265664437674e-06
153 2.399263347275509e-06 2.1496910833377205e-07 2.2092458769244233e-06
154 2.3858047604238654e-06 1.987204724412869e-07 2.222003696419065e-06
155 2.297933796879382e-06 1.7843885700564996e-07 2.1548038433832466e-06
156 2.2929026395149004e-06 1.512036213908248e-07 2.17260312804399e-06
157 2.327378143358888e-06 1.9204705364136584e-07 2.1762098819710786e-06
158 2.289410513182949e-06 1.9295613335725703e-07 2.136103091536429e-06
159 2.280842111491933e-06 1.9765757913603716e-07 2.106384029379574e-06
160 2.290776429915779e-06 2.0898664943106117e-07 2.118297657222891e-06
161 2.2711429009011384e-06 1.9516165838538545e-07 2.12324149847917e-06
162 2.282773338436004e-06 2.0206804547521736e-07 2.1032316452164046e-06
163 2.2462496342606253e-06 2.3207168583130377e-07 2.0514669639648674e-06
164 2.2375381712544994e-06 2.1694776013106304e-07 2.062303527740631e-06
165 2.2671240171983036e-06 2.5192394015324604e-07 2.0481196282716646e-06
166 2.255950034664404e-06 2.449074750552896e-07 2.034847903361528e-06
167 2.221373044251596e-06 2.1512982143793364e-07 2.0310622055323974e-06
168 2.1449167347783012e-06 1.9231253875756396e-07 1.995971710757559e-06
169 2.1979183008917762e-06 2.289627954075019e-07 1.9974178864928178e-06
170 2.076903501337134e-06 1.7133217509528648e-07 1.9494055853205636e-06
171 2.0788651577128378e-06 1.6611585447310496e-07 1.947081521869059e-06
172 2.0670009968830137e-06 2.0106564612756594e-07 1.900348311994205e-06
173 2.0763043717002784e-06 2.0052065137871847e-07 1.9074096922993573e-06
174 2.008373292316262e-06 1.8577168035505208e-07 1.860392064112384e-06
175 2.037650294626585e-06 2.0903283620624567e-07 1.8511391341683626e-06
176 2.0106868623753034e-06 2.0111066091525035e-07 1.8467765948500283e-06
177 1.9964486253688614e-06 1.859041695165197e-07 1.8398281094591623e-06
178 1.9369116818880975e-06 1.5162708329998902e-07 1.8074650956952912e-06
179 1.9384342190229127e-06 1.6722285288065648e-07 1.793421106562164e-06
180 1.931021223245637e-06 1.7085484452093457e-07 1.7811314281954781e-06
181 1.9110282326427844e-06 1.7267484746519788e-07 1.7599650688408536e-06
182 1.9089016263089674e-06 2.0291662848765303e-07 1.7368699267905996e-06
183 1.8978939227424219e-06 1.7904977159854963e-07 1.737370061053412e-06
184 1.8692571900071119e-06 1.7452393141267702e-07 1.721657500801223e-06
185 1.8411441675776194e-06 1.9111598177219093e-07 1.6706116873959084e-06
186 1.831216504947108e-06 1.8928631528136727e-07 1.6566891248010794e-06
187 1.8345908527153067e-06 2.1676346314035183e-07 1.648302214231674e-06
188 1.787876057873668e-06 1.7490003699450502e-07 1.6361162752989581e-06
189 1.7979473643299628e-06 1.962924066419991e-07 1.6232436787532694e-06
190 1.7736035658164144e-06 1.9995794426075174e-07 1.593722901629758e-06
191 1.7537531155677187e-06 1.850505059578246e-07 1.5924974961751868e-06
192 1.7362539621485904e-06 1.8551276568433951e-07 1.5752839307026402e-06
193 1.7506944463930265e-06 1.9966118486911121e-07 1.5744161329647921e-06
194 1.6934960108341323e-06 2.0130486637480097e-07 1.5208370627467897e-06
195 1.689579962152246e-06 1.8158152518325498e-07 1.5351957206915968e-06
196 1.6883783012418524e-06 1.6697461471797064e-07 1.5417045123924294e-06
197 1.6965627360762553e-06 2.0569372576601101e-07 1.5220909703012145e-06
198 1.6862792123717395e-06 1.9969578838562855e-07 1.4989551710946795e-06
199 1.6766046678557875e-06 2.0474570797567853e-07 1.4855144465974393e-06
200 1.6645531468856418e-06 2.1491045061793338e-07 1.4753983406553498e-06
201 1.6422302295316082e-06 1.915854164891343e-07 1.4847371581077958e-06
202 1.6028240076928379e-06 1.67171548882715e-07 1.459189247780369e-06
203 1.5849164625177638e-06 1.6078796746785964e-07 1.4418823734272127e-06
204 1.6129443785273162e-06 1.922145521541071e-07 1.4452209454323953e-06
205 1.5924395683267152e-06 1.942500702451006e-07 1.4305539050753073e-06
206 1.6046694556237702e-06 2.061290369904966e-07 1.4216487531154154e-06
207 1.5992322348597443e-06 2.0258410435674753e-07 1.420098650059877e-06
208 1.5765710866824017e-06 1.6263366592140162e-07 1.4311072894983195e-06
209 1.5600273575179155e-06 1.944413353895622e-07 1.4019032659230075e-06
210 1.5690976235539995e-06 1.8676050658158346e-07 1.4039360016444397e-06
211 1.5981962261548847e-06 2.1542700503106563e-07 1.405834584455087e-06
212 1.5627563652466694e-06 1.878966762500899e-07 1.4070390614199943e-06
213 1.5580803307588924e-06 1.951699220835862e-07 1.3880002315540588e-06
